init_tom,resp_tom,init_lr,resp_lr,init_canLie,resp_canLie,init_initPoints,resp_respPoints,init_finalPoints,resp_finalPoints,init_gain,resp_gain,nr_offers,outcome_is_PE,passed_time
0,0,0.5,0.5,false,false,300,300,297,297,-3,-3,3,true,0.483
0,0,0.5,0.5,false,false,850,850,848,848,-2,-2,2,true,-1.0
0,0,0.5,0.5,false,false,300,300,799,899,499,599,1,true,-1.0
0,0,0.5,0.5,false,false,300,300,348,798,48,498,2,true,-1.0
0,0,0.5,0.5,false,false,200,300,298,798,98,498,2,true,-1.0
0,0,0.5,0.5,false,false,850,850,848,848,-2,-2,2,true,-1.0
0,0,0.5,0.5,false,false,900,250,897,247,-3,-3,3,true,-1.0
0,0,0.5,0.5,false,false,300,850,799,899,499,49,1,true,-1.0
0,0,0.5,0.5,false,false,300,850,297,847,-3,-3,3,true,-1.0
0,0,0.5,0.5,false,false,200,300,246,346,46,46,4,true,-1.0
0,1,0.5,0.5,false,false,200,250,197,247,-3,-3,3,true,0.736
0,1,0.5,0.5,false,false,900,350,896,346,-4,-4,4,true,-1.0
0,1,0.5,0.5,false,false,350,850,346,846,-4,-4,4,true,-1.0
0,1,0.5,0.5,false,false,200,250,199,249,-1,-1,1,true,-1.0
0,1,0.5,0.5,false,false,850,200,846,196,-4,-4,4,true,-1.0
0,1,0.5,0.5,false,false,250,200,797,247,547,47,3,true,-1.0
0,1,0.5,0.5,false,false,300,850,296,846,-4,-4,4,true,-1.0
0,1,0.5,0.5,false,false,300,200,296,196,-4,-4,4,true,-1.0
0,1,0.5,0.5,false,false,850,250,846,246,-4,-4,4,true,-1.0
0,1,0.5,0.5,false,false,300,900,298,898,-2,-2,2,true,-1.0
0,2,0.5,0.5,false,true,250,850,298,898,48,48,2,true,424.463
0,2,0.5,0.5,false,true,200,300,298,848,98,548,2,true,-1.0
0,2,0.5,0.5,false,true,850,300,846,296,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,true,300,300,296,296,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,true,250,250,849,299,599,49,1,true,-1.0
0,2,0.5,0.5,false,true,350,200,398,798,48,598,2,true,-1.0
0,2,0.5,0.5,false,true,250,200,297,247,47,47,3,true,-1.0
0,2,0.5,0.5,false,true,250,200,249,199,-1,-1,1,true,-1.0
0,2,0.5,0.5,false,true,300,250,298,248,-2,-2,2,true,-1.0
0,2,0.5,0.5,false,true,250,300,849,899,599,599,1,true,-1.0
0,2,0.5,0.5,false,false,300,250,797,297,497,47,3,true,66.893
0,2,0.5,0.5,false,false,850,250,846,246,-4,-4,4,true,-1.0
0,2,0.5,0.5,false,false,300,300,797,397,497,97,3,true,-1.0
0,2,0.5,0.5,false,false,250,250,296,296,46,46,4,true,-1.0
0,2,0.5,0.5,false,false,300,850,299,849,-1,-1,1,true,-1.0
0,2,0.5,0.5,false,false,300,250,348,798,48,548,2,true,-1.0
0,2,0.5,0.5,false,false,250,250,296,296,46,46,4,true,-1.0
0,2,0.5,0.5,false,false,250,850,249,849,-1,-1,1,true,-1.0
0,2,0.5,0.5,false,false,300,300,799,799,499,499,1,false,-1.0
0,2,0.5,0.5,false,false,350,850,346,846,-4,-4,4,true,-1.0
1,0,0.5,0.5,false,false,300,300,799,949,499,649,1,true,0.317
1,0,0.5,0.5,false,false,300,250,300,250,0,0,0,true,-1.0
1,0,0.5,0.5,false,false,300,200,849,299,549,99,1,true,-1.0
1,0,0.5,0.5,false,false,250,350,245,345,-5,-5,5,false,-1.0
1,0,0.5,0.5,false,false,300,900,300,900,0,0,0,true,-1.0
1,0,0.5,0.5,false,false,300,250,297,247,-3,-3,3,true,-1.0
1,0,0.5,0.5,false,false,250,200,250,200,0,0,0,true,-1.0
1,0,0.5,0.5,false,false,200,200,200,200,0,0,0,true,-1.0
1,0,0.5,0.5,false,false,300,300,799,949,499,649,1,true,-1.0
1,0,0.5,0.5,false,false,250,200,299,849,49,649,1,true,-1.0
1,1,0.5,0.5,false,false,250,200,247,197,-3,-3,3,true,1.131
1,1,0.5,0.5,false,false,850,200,800,150,-50,-50,50,false,-1.0
1,1,0.5,0.5,false,false,250,350,247,347,-3,-3,3,true,-1.0
1,1,0.5,0.5,false,false,350,850,300,800,-50,-50,50,true,-1.0
